,source,text,positive_words,negative_words,negative_adverbs,punctuation_sum,punctuation_exclamation,negation,positive_rating,class
732,yelp,Nicest Chinese restaurant I"ve been in a while.,1,0,0,1,0,0,0,1

733,yelp,'Overall, I like there food and the service.',1,0,0,2,0,0,0,1

734,yelp,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,0,0,0,1,0,0,0,1

735,yelp,'Probably never coming back, and wouldn"t recommend it.',1,0,0,2,0,1,0,0

736,yelp,'Friend"s pasta -- also bad, he barely touched it.',0,1,0,2,0,0,0,0

737,yelp,'Try them in the airport to experience some tasty food and speedy, friendly service.',3,0,0,2,0,0,0,1

738,yelp,I love the decor with the Chinese calligraphy wall paper.,1,0,0,1,0,0,0,1

739,yelp,Never had anything to complain about here.,0,1,0,1,0,1,0,1

740,yelp,The restaurant is very clean and has a family restaurant feel to it.,1,0,0,1,0,0,0,1

741,yelp,It was way over fried.,0,1,0,1,0,0,0,0

742,yelp,I"m not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,1,0,0,1,0,1,0,0

743,yelp,'When I opened the sandwich, I was impressed, but not in a good way.',2,0,0,3,0,1,0,0

744,yelp,Will not be back!,0,0,0,1,1,1,0,0

745,yelp,There was a warm feeling with the service and I felt like their guest for a special treat.,2,0,0,1,0,0,0,1

746,yelp,An extensive menu provides lots of options for breakfast.,0,0,0,1,0,0,0,1

747,yelp,'I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.',0,0,0,2,0,0,0,1

748,yelp,'I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!',0,0,0,2,1,0,0,0

749,yelp,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,2,1,0,1,0,0,0,1

750,yelp,'I got to enjoy the seafood salad, with a fabulous vinegrette.',2,0,0,2,0,0,0,1

751,yelp,'The wontons were thin, not thick and chewy, almost melt in your mouth.',0,1,0,3,0,1,0,1

752,yelp,'Level 5 spicy was perfect, where spice didn"t over-whelm the soup.',1,0,0,2,0,1,0,1

753,yelp,We were sat right on time and our server from the get go was FANTASTIC!,2,0,0,1,1,0,0,1

754,yelp,'Main thing I didn"t enjoy is that the crowd is of older crowd, around mid 30s and up.',1,0,0,2,0,1,0,0

755,yelp,'When I"m on this side of town, this will definitely be a spot I"ll hit up again!',0,0,0,2,1,0,0,1

756,yelp,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,0,0,1,0,0,0,0

757,yelp,This is a GREAT place to eat!,1,0,0,1,1,0,0,1

758,yelp,The jalapeno bacon is soooo good.,1,0,0,1,0,0,0,1

759,yelp,The service was poor and thats being nice.,1,1,0,1,0,0,0,0

760,yelp,'Food was good, service was good, Prices were good.',3,0,0,3,0,0,0,1

761,yelp,The place was not clean and the food oh so stale!,1,1,0,1,1,1,0,0

762,yelp,'The chicken dishes are OK, the beef is like shoe leather.',1,0,0,2,0,0,0,0

763,yelp,But the service was beyond bad.,0,1,0,1,0,0,0,0

764,yelp,I"m so happy to be here!!!",1,0,0,3,3,0,0,1

765,yelp,Tasted like dirt.,1,1,0,1,0,0,0,0

766,yelp,One of the few places in Phoenix that I would definately go back to again .,0,0,0,1,0,0,0,1

767,yelp,The block was amazing.,1,0,0,1,0,0,0,1

768,yelp,'It"s close to my house, it"s low-key, non-fancy, affordable prices, good food.',2,0,0,5,0,0,0,1

769,yelp,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,1,0,1,1,0,0,1

770,yelp,My sashimi was poor quality being soggy and tasteless.,0,1,0,1,0,0,0,0

771,yelp,Great time - family dinner on a Sunday night.,1,0,0,1,0,0,0,1

772,yelp,'the food is not tasty at all, not to say its "real traditional Hunan style".',1,0,0,2,0,2,0,0

773,yelp,'What did bother me, was the slow service.',0,2,0,2,0,0,0,0

774,yelp,The flair bartenders are absolutely amazing!,1,1,0,1,1,0,0,1

775,yelp,Their frozen margaritas are WAY too sugary for my taste.,0,1,0,1,0,0,0,0

776,yelp,These were so good we ordered them twice.,1,0,0,1,0,0,0,1

777,yelp,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,1,2,0,1,0,0,0,0

778,yelp,My girlfriend"s veal was very bad.,0,1,0,1,0,0,0,0

779,yelp,'Unfortunately, it was not good.',1,1,0,2,0,1,0,0

780,yelp,I had a pretty satifying experience.,1,0,0,1,0,0,0,1

781,yelp,Join the club and get awesome offers via email.,1,0,0,1,0,0,0,1

782,yelp,'Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.',2,1,0,3,0,0,0,1

783,yelp,Bland and flavorless is a good way of describing the barely tepid meat.,1,2,0,1,0,0,0,0

784,yelp,'The chains, which I"m no fan of, beat this place easily.',0,0,0,3,0,1,0,0

785,yelp,The nachos are a MUST HAVE!,0,0,0,1,1,0,0,1

786,yelp,We will not be coming back.,0,0,0,1,0,1,0,0

787,yelp,'I don"t have very many words to say about this place, but it does everything pretty well.',2,0,0,2,0,1,0,1

788,yelp,'The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.',2,1,0,3,0,0,0,1

789,yelp,'Great atmosphere, friendly and fast service.',3,0,0,2,0,0,0,1

790,yelp,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,0,0,0,1,0,0,0,1

791,yelp,Once your food arrives it"s meh.,0,1,0,1,0,0,0,0

792,yelp,Paying $7.85 for a hot dog and fries that looks like it came out of a kid"s meal at the Wienerschnitzel is not my idea of a good meal.,3,0,0,2,0,1,0,0

793,yelp,The classic Maine Lobster Roll was fantastic.,2,0,0,1,0,0,0,1

794,yelp,'My brother in law who works at the mall ate here same day, and guess what he was sick all night too.',1,1,0,2,0,0,0,0

795,yelp,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,0,0,1,0,0,0,1

796,yelp,'The chips and salsa were really good, the salsa was very fresh.',2,0,0,2,0,0,0,1

797,yelp,This place is great!!!!!!!!!!!!!!,1,0,0,14,14,0,0,1

798,yelp,Mediocre food.,0,1,0,1,0,0,0,0

799,yelp,Once you get inside you"ll be impressed with the place.,1,0,0,1,0,0,0,1

800,yelp,I"m super pissd.,1,0,0,1,0,0,0,0

801,yelp,And service was super friendly.,2,0,0,1,0,0,0,1

802,yelp,Why are these sad little vegetables so overcooked?,0,1,1,1,0,0,0,0

803,yelp,This place was such a nice surprise!,1,0,0,1,1,0,0,1

804,yelp,They were golden-crispy and delicious.,1,0,0,1,0,0,0,1

805,yelp,'I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.',0,2,0,3,0,0,0,0

806,yelp,I could eat their bruschetta all day it is devine.,0,0,0,1,0,0,0,1

807,yelp,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,0,0,1,0,1,0,0

808,yelp,'Lastly, the mozzarella sticks, they were the best thing we ordered.',1,0,0,3,0,0,0,1

809,yelp,'The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.',2,0,0,2,0,0,0,1

810,yelp,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,2,0,4,1,1,0,0

811,yelp,The service was terrible though.,0,1,0,1,0,0,0,0

812,yelp,'This place is overpriced, not consistent with their boba, and it really is OVERPRICED!',1,2,0,3,1,1,0,0

813,yelp,It was packed!!,0,0,0,2,2,0,0,0

814,yelp,I love this place.,1,0,0,1,0,0,0,1

815,yelp,I can say that the desserts were yummy.,0,0,0,1,0,0,0,1

816,yelp,The food was terrible.,0,1,0,1,0,0,0,0

817,yelp,The seasonal fruit was fresh white peach puree.,2,0,0,1,0,0,0,1

818,yelp,It kept getting worse and worse so now I"m officially done.,0,2,0,1,0,0,0,0

819,yelp,This place should honestly be blown up.,0,0,0,1,0,0,0,0

820,yelp,But I definitely would not eat here again.,0,0,0,1,0,1,0,0

821,yelp,Do not waste your money here!,0,1,0,1,1,1,0,0

822,yelp,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,2,0,1,1,0,0,0,1

823,yelp,The crêpe was delicate and thin and moist.,1,0,0,1,0,0,0,1

824,yelp,Awful service.,0,1,0,1,0,0,0,0

825,yelp,Won"t ever go here again.,0,0,0,1,0,1,0,0

826,yelp,Food quality has been horrible.,0,1,0,1,0,0,0,0

827,yelp,For that price I can think of a few place I would have much rather gone.,0,0,0,1,0,0,0,0

828,yelp,The service here is fair at best.,2,0,0,1,0,0,0,0

829,yelp,'I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.',1,1,0,3,0,0,0,0

830,yelp,Do yourself a favor and stay away from this dish.,1,0,0,1,0,0,0,0

831,yelp,Very poor service.,0,1,0,1,0,0,0,0

832,yelp,No one at the table thought the food was above average or worth the wait that we had for it.,1,0,0,1,0,1,0,0

833,yelp,'Best service and food ever, Maria our server was so good and friendly she made our day.',3,0,0,2,0,0,0,1

834,yelp,They were excellent.,1,0,0,1,0,0,0,1

835,yelp,I paid the bill but did not tip because I felt the server did a terrible job.,0,1,0,1,0,1,0,0

836,yelp,Just had lunch here and had a great experience.,1,0,0,1,0,0,0,1

837,yelp,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,1,0,1,0,1,0,0

838,yelp,Food is way overpriced and portions are fucking small.,0,2,0,1,0,0,0,0

839,yelp,I recently tried Caballero"s and I have been back every week since!,0,0,0,1,1,0,0,1

840,yelp,'for 40 bucks a head, i really expect better food.',1,0,0,2,0,0,0,0

841,yelp,The food came out at a good pace.,1,0,0,1,0,0,0,1

842,yelp,'I ate there twice on my last visit, and especially enjoyed the salmon salad.',1,0,0,2,0,0,0,1

843,yelp,I won"t be back.,0,0,0,1,0,1,0,0

844,yelp,We could not believe how dirty the oysters were!,0,1,0,1,1,1,0,0

845,yelp,This place deserves no stars.,0,0,0,1,0,1,0,0

846,yelp,I would not recommend this place.,1,0,0,1,0,1,0,0

847,yelp,'In fact I"m going to round up to 4 stars, just because she was so awesome.',1,0,0,2,0,0,0,1

848,yelp,'To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.',1,2,0,2,0,0,0,0

849,yelp,'Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!',2,2,0,5,2,1,0,0

850,yelp,the potatoes were great and so was the biscuit.,1,0,0,1,0,0,0,1

851,yelp,I probably would not go here again.,0,0,0,1,0,1,0,0

852,yelp,So flavorful and has just the perfect amount of heat.,1,0,0,1,0,0,0,1

853,yelp,The price is reasonable and the service is great.,2,0,0,1,0,0,0,1

854,yelp,'The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.',1,1,0,3,0,1,0,0

855,yelp,My fella got the huevos rancheros and they didn"t look too appealing.,1,0,0,1,0,1,0,0

856,yelp,'Went in for happy hour, great list of wines.',2,0,0,2,0,0,0,1

857,yelp,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,0,1,0,1,1,0,0,1

858,yelp,I probably won"t be coming back here.,0,0,0,1,0,1,0,0

859,yelp,Worst food/service I"ve had in a while.,0,1,0,1,0,0,0,0

860,yelp,'This place is pretty good, nice little vibe in the restaurant.',3,0,1,2,0,0,0,1

861,yelp,Talk about great customer service of course we will be back.,1,0,0,1,0,0,0,1

862,yelp,'Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.',2,2,0,5,0,2,0,0

863,yelp,I love their fries and their beans.,1,0,0,1,0,0,0,1

864,yelp,Always a pleasure dealing with him.,1,0,0,1,0,0,0,1

865,yelp,'They have a plethora of salads and sandwiches, and everything I"ve tried gets my seal of approval.',1,0,0,2,0,0,0,1

866,yelp,This place is awesome if you want something light and healthy during the summer.,2,0,0,1,0,0,0,1

867,yelp,'For sushi on the Strip, this is the place to go.',0,0,0,2,0,0,0,1

868,yelp,'The service was great, even the manager came and helped with our table.',2,0,0,2,0,0,0,1

869,yelp,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,1,1,0,1,0,0,0,0

870,yelp,'I started this review with two stars, but I"m editing it to give it only one.',0,0,0,2,0,0,0,0

871,yelp,this is the worst sushi i have ever eat besides Costco"s.,0,1,0,1,0,0,0,0

872,yelp,'All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.',3,0,0,3,0,0,0,1

873,yelp,My boyfriend and i sat at the bar and had a completely delightful experience.,1,0,0,1,0,0,0,1

874,yelp,Weird vibe from owners.,0,1,0,1,0,0,0,0

875,yelp,There was hardly any meat.,0,0,0,1,0,0,0,0

876,yelp,I"ve had better bagels from the grocery store.,1,0,0,1,0,0,0,0

877,yelp,Go To Place for Gyros.,0,0,0,1,0,0,0,1

878,yelp,'I love the owner/chef, his one authentic Japanese cool dude!',3,0,0,2,1,0,0,1

879,yelp,'Now the burgers aren"t as good, the pizza which used to be amazing is doughy and flavorless.',2,0,0,2,0,1,0,0

880,yelp,I found a six inch long piece of wire in my salsa.,0,0,0,1,0,0,0,0

881,yelp,'The service was terrible, food was mediocre.',0,2,0,2,0,0,0,0

882,yelp,We definately enjoyed ourselves.,1,0,0,1,0,0,0,1

883,yelp,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,2,1,0,1,0,0,0,0

884,yelp,'On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.',2,0,0,2,0,0,0,0

885,yelp,I had about two bites and refused to eat anymore.,0,1,0,1,0,0,0,0

886,yelp,The service was extremely slow.,0,1,0,1,0,0,0,0

887,yelp,'After 20 minutes wait, I got a table.',0,0,0,2,0,0,0,0

888,yelp,Seriously killer hot chai latte.,1,1,0,1,0,0,0,1

889,yelp,'No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.',0,1,0,2,0,3,0,0

890,yelp,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,1,0,1,0,0,0,1

891,yelp,Their rotating beers on tap is also a highlight of this place.,0,0,0,1,0,0,0,1

892,yelp,Pricing is a bit of a concern at Mellow Mushroom.,0,1,0,1,0,0,0,0

893,yelp,Worst Thai ever.,0,1,0,1,0,0,0,0

894,yelp,If you stay in Vegas you must get breakfast here at least once.,0,0,0,1,0,0,0,1

895,yelp,I want to first say our server was great and we had perfect service.,2,0,0,1,0,0,0,1

896,yelp,The pizza selections are good.,1,0,0,1,0,0,0,1

897,yelp,'I had strawberry tea, which was good.',1,0,0,2,0,0,0,1

898,yelp,Highly unprofessional and rude to a loyal patron!,1,1,0,1,1,0,0,0

899,yelp,'Overall, a great experience.',1,0,0,2,0,0,0,1

900,yelp,Spend your money elsewhere.,0,0,0,1,0,0,0,0

901,yelp,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,0,0,7,1,0,0,1

902,yelp,The Buffet at Bellagio was far from what I anticipated.,0,0,0,1,0,0,0,0

903,yelp,'And the drinks are WEAK, people!',0,1,0,2,1,0,0,0

904,yelp,-My order was not correct.,1,0,0,1,0,1,0,0

905,yelp,'Also, I feel like the chips are bought, not made in house.',1,0,0,3,0,1,0,0

906,yelp,After the disappointing dinner we went elsewhere for dessert.,0,1,0,1,0,0,0,0

907,yelp,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,0,0,19,19,0,0,1

908,yelp,We won"t be returning.,0,0,0,1,0,1,0,0

909,yelp,This is my new fav Vegas buffet spot.,1,0,0,1,0,0,0,1

910,yelp,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,1,0,0,1,0,0,0,0

911,yelp,'Very, very sad.',0,1,0,2,0,0,0,0

912,yelp,'i felt insulted and disrespected, how could you talk and judge another human being like that?',1,1,0,2,0,0,0,0

913,yelp,'How can you call yourself a steakhouse if you can"t properly cook a steak, I don"t understand!',1,0,0,2,1,2,0,0

914,yelp,I"m not impressed with the concept or the food.,1,0,0,1,0,1,0,0

915,yelp,The only thing I wasn"t too crazy about was their guacamole as I don"t like it puréed.,1,1,0,1,0,2,0,0

916,yelp,'There is really nothing for me at postinos, hope your experience is better',1,0,0,1,0,1,0,0

917,yelp,I got food poisoning here at the buffet.,0,0,0,1,0,0,0,0

918,yelp,They brought a fresh batch of fries and I was thinking yay something warm but no!,3,0,0,1,1,1,0,0

919,yelp,'What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.',1,1,0,2,0,0,0,0

920,yelp,'Needless to say, I won"t be going back anytime soon.',0,1,0,2,0,1,0,0

921,yelp,This place is disgusting!,0,1,0,1,1,0,0,0

922,yelp,'Every time I eat here, I see caring teamwork to a professional degree.',0,0,0,2,0,0,0,1

923,yelp,The RI style calamari was a joke.,0,1,0,1,0,0,0,0

924,yelp,'However, there was so much garlic in the fondue, it was barely edible.',0,0,0,3,0,0,0,0

925,yelp,'I could barely stomach the meal, but didn"t complain because it was a business lunch.',0,1,0,2,0,1,0,0

926,yelp,'It was so bad, I had lost the heart to finish it.',0,2,0,2,0,0,0,0

927,yelp,It also took her forever to bring us the check when we asked for it.,0,0,0,1,0,0,0,0

928,yelp,We aren"t ones to make a scene at restaurants but I just don"t get it...definitely lost the love after this one!,1,1,0,4,1,2,0,0

929,yelp,Disappointing experience.,0,1,0,1,0,0,0,0

930,yelp,'The food is about on par with Denny"s, which is to say, not good at all.',1,0,0,3,0,1,0,0

931,yelp,'If you want to wait for mediocre food and downright terrible service, then this is the place for you.',0,2,0,2,0,0,0,0

932,yelp,WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,0,0,1,0,0,0,0

933,yelp,We won"t be going back.,0,0,0,1,0,1,0,0

934,yelp,The place was fairly clean but the food simply wasn"t worth it.,3,0,0,1,0,1,0,0

935,yelp,This place lacked style!!,0,1,0,2,2,0,0,0

936,yelp,'The sangria was about half of a glass wine full and was $12, ridiculous.',0,1,0,2,0,0,0,0

937,yelp,Don"t bother coming here.,0,1,0,1,0,1,0,0

938,yelp,'The meat was pretty dry, I had the sliced brisket and pulled pork.',1,0,0,2,0,0,0,0

939,yelp,'The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn"t eat here again.',2,0,0,2,0,0,0,0

940,yelp,It was equally awful.,0,1,0,1,0,0,0,0

941,yelp,Probably not in a hurry to go back.,0,0,0,1,0,1,0,0

942,yelp,very slow at seating even with reservation.,0,1,0,1,0,0,0,0

943,yelp,Not good by any stretch of the imagination.,1,0,0,1,0,1,0,0

944,yelp,The cashew cream sauce was bland and the vegetables were undercooked.,0,1,0,1,0,0,0,0

945,yelp,'The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.',0,0,0,2,0,1,0,0

946,yelp,'It was a bit too sweet, not really spicy enough, and lacked flavor.',2,1,0,3,0,1,0,0

947,yelp,I was VERY disappointed!!,0,1,0,2,2,0,0,0

948,yelp,This place is horrible and way overpriced.,0,2,0,1,0,0,0,0

949,yelp,'Maybe it"s just their Vegetarian fare, but I"ve been twice and I thought it was average at best.',1,0,0,2,0,0,0,0

950,yelp,It wasn"t busy at all and now we know why.,0,0,0,1,0,1,0,0

951,yelp,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,2,1,0,1,0,1,0,0

952,yelp,'The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.',1,0,0,2,0,1,0,0

953,yelp,Con: spotty service.,0,1,0,1,0,0,0,0

954,yelp,'The fries were not hot, and neither was my burger.',1,0,0,2,0,2,0,0

955,yelp,But then they came back cold.,0,1,0,1,0,0,0,0

956,yelp,'Then our food came out, disappointment ensued.',0,1,0,2,0,0,0,0

957,yelp,The real disappointment was our waiter.,0,1,0,1,0,0,0,0

958,yelp,My husband said she was very rude... did not even apologize for the bad food or anything.,0,2,0,4,0,1,0,0

959,yelp,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0,0,0,1,0,0,0,0

960,yelp,'Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.',1,3,0,3,0,0,0,0

961,yelp,If someone orders two tacos don"t" you think it may be part of customer service to ask if it is combo or ala cart?,0,0,0,1,0,0,0,0

962,yelp,She was quite disappointed although some blame needs to be placed at her door.,0,2,0,1,0,0,0,0

963,yelp,After all the rave reviews I couldn"t wait to eat here......what a disappointment!,0,1,0,7,1,0,0,0

964,yelp,Del Taco is pretty nasty and should be avoided if possible.,1,1,0,1,0,0,0,0

965,yelp,It"s NOT hard to make a decent hamburger.,1,1,0,1,0,1,0,0

966,yelp,But I don"t like it.,1,0,0,1,0,1,0,0

967,yelp,Hell no will I go back,0,1,0,0,0,1,0,0

968,yelp,We"ve have gotten a much better service from the pizza place next door than the services we received from this restaurant.,1,0,0,1,0,0,0,0

969,yelp,'I don"t know what the big deal is about this place, but I won"t be back "ya"all".',0,0,0,2,0,2,0,0

970,yelp,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,0,0,1,0,1,0,0

971,yelp,The ambiance isn"t much better.,1,0,0,1,0,1,0,0

972,yelp,'Unfortunately, it only set us up for disapppointment with our entrees.',0,1,0,2,0,0,0,0

973,yelp,The food wasn"t good.,1,0,0,1,0,1,0,0

974,yelp,'Your servers suck, wait, correction, our server Heimer sucked.',0,2,0,4,0,0,0,0

975,yelp,What happened next was pretty....off putting.,0,0,0,5,0,0,0,0

976,yelp,'too bad cause I know it"s family owned, I really wanted to like this place.',1,1,0,2,0,0,0,0

977,yelp,Overpriced for what you are getting.,0,1,0,1,0,0,0,0

978,yelp,I vomited in the bathroom mid lunch.,0,1,0,1,0,0,0,0

979,yelp,'I kept looking at the time and it had soon become 35 minutes, yet still no food.',0,0,0,2,0,1,0,0

980,yelp,'I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.',1,0,0,2,0,1,0,0

981,yelp,We started with the tuna sashimi which was brownish in color and obviously wasn"t fresh.,1,0,0,1,0,1,0,0

982,yelp,Food was below average.,0,0,0,1,0,0,0,0

983,yelp,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0,0,1,1,0,0,0,0

984,yelp,'All in all, Ha Long Bay was a bit of a flop.',0,0,0,2,0,0,0,0

985,yelp,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,1,1,0,2,0,1,0,0

986,yelp,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,1,0,1,0,0,0,0

987,yelp,'It lacked flavor, seemed undercooked, and dry.',0,1,0,3,0,0,0,0

988,yelp,It really is impressive that the place hasn"t closed down.,1,0,0,1,0,1,0,0

989,yelp,I would avoid this place if you are staying in the Mirage.,0,2,0,1,0,0,0,0

990,yelp,The refried beans that came with my meal were dried out and crusty and the food was bland.,0,1,0,1,0,0,0,0

991,yelp,Spend your money and time some place else.,0,0,0,1,0,0,0,0

992,yelp,A lady at the table next to us found a live green caterpillar In her salad.,0,0,0,1,0,0,0,0

993,yelp,the presentation of the food was awful.,0,1,0,1,0,0,0,0

994,yelp,I can"t tell you how disappointed I was.,0,1,0,1,0,1,0,0

995,yelp,I think food should have flavor and texture and both were lacking.,0,1,0,1,0,0,0,0

996,yelp,Appetite instantly gone.,1,0,0,1,0,0,0,0

997,yelp,Overall I was not impressed and would not go back.,1,0,0,1,0,2,0,0

998,yelp,'The whole experience was underwhelming, and I think we"ll just go to Ninja Sushi next time.',0,0,0,2,0,0,0,0

999,yelp,'Then, as if I hadn"t wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.',1,2,0,3,0,1,0,0

1000,amazon,So there is no way for me to plug it in here in the US unless I go by a converter.,0,0,0,1,0,1,0,0

1001,amazon,'Good case, Excellent value.',2,0,0,2,0,0,0,1

1002,amazon,Great for the jawbone.,1,0,0,1,0,0,0,1

1003,amazon,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,1,0,3,2,0,0,0

1004,amazon,The mic is great.,1,0,0,1,0,0,0,1

1005,amazon,I have to jiggle the plug to get it to line up right to get decent volume.,2,0,0,1,0,0,0,0

1006,amazon,'If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.',1,0,0,2,0,0,0,0

1007,amazon,If you are Razr owner...you must have this!,0,0,0,4,1,0,0,1

1008,amazon,'Needless to say, I wasted my money.',0,2,0,2,0,0,0,0

1009,amazon,What a waste of money and time!.,0,1,0,2,1,0,0,0

1010,amazon,And the sound quality is great.,1,0,0,1,0,0,0,1

1011,amazon,He was very impressed when going from the original battery to the extended battery.,1,0,0,1,0,0,0,1

1012,amazon,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,2,0,1,0,0,0,0

1013,amazon,Very good quality though,1,0,0,0,0,0,0,1

1014,amazon,'The design is very odd, as the ear "clip" is not very comfortable at all.',1,1,0,2,0,1,0,0

1015,amazon,Highly recommend for any one who has a blue tooth phone.,1,0,0,1,0,0,0,1

1016,amazon,I advise EVERYONE DO NOT BE FOOLED!,0,1,0,1,1,1,0,0

1017,amazon,So Far So Good!.,1,0,0,2,1,0,0,1

1018,amazon,Works great!.,2,0,0,2,1,0,0,1

1019,amazon,It clicks into place in a way that makes you wonder how long that mechanism would last.,1,0,0,1,0,0,0,0

1020,amazon,'I went on Motorola"s website and followed all directions, but could not get it to pair again.',0,0,0,2,0,1,0,0

1021,amazon,I bought this to use with my Kindle Fire and absolutely loved it!,1,0,0,1,1,0,0,1

1022,amazon,The commercials are the most misleading.,0,1,0,1,0,0,0,0

1023,amazon,I have yet to run this new battery below two bars and that"s three days without charging.,0,0,0,1,0,0,0,1

1024,amazon,I bought it for my mother and she had a problem with the battery.,0,1,0,1,0,0,0,0

1025,amazon,Great Pocket PC / phone combination.,1,0,0,1,0,0,0,1

1026,amazon,I"ve owned this phone for 7 months now and can say that it"s the best mobile phone I"ve had.,1,0,0,1,0,0,0,1

1027,amazon,I didn"t think that the instructions provided were helpful to me.,1,0,0,1,0,1,0,0

1028,amazon,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,0,0,1,0,0,0,0

1029,amazon,Doesn"t hold charge.,0,0,0,1,0,1,0,0

1030,amazon,'This is a simple little phone to use, but the breakage is unacceptible.',0,0,1,2,0,0,0,0

1031,amazon,This product is ideal for people like me whose ears are very sensitive.,3,0,0,1,0,0,0,1

1032,amazon,It is unusable in a moving car at freeway speed.,0,1,0,1,0,0,0,0

1033,amazon,I have two more years left in this contract and I hate this phone.,0,1,0,1,0,0,0,0

1034,amazon,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,2,0,0,1,0,1,0,1

1035,amazon,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,0,0,2,0,0,0,0

1036,amazon,It has kept up very well.,1,0,0,1,0,0,0,1

1037,amazon,Poor Talk Time Performance.,0,1,0,1,0,0,0,0

1038,amazon,The case is great and works fine with the 680.,3,0,0,1,0,0,0,1

1039,amazon,worthless product.,0,1,0,1,0,0,0,0

1040,amazon,'It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.',4,0,0,2,0,0,0,1

1041,amazon,I was not impressed by this product.,1,0,0,1,0,1,0,0

1042,amazon,Nice headset priced right.,2,0,0,1,0,0,0,1

